 Car Make , Car Model   , Year , Body Type , Color Options                 , Fuel Type , Engine Size, Horsepower , Torque , Transmission Type , Acceleration, Top Speed, Mileage , Safety Features                                      , Entertainment Features               , Interior Features                                , Exterior Features                                           , Price, Customer Ratings , Sales Figures
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,2,275,295, Automatic        , 5.2 seconds           ,155,23," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        ",25, 4.7/5            ,"1,6"
 Honda    , Fit         ,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ,1.5,128,139, CVT               , 8.8 seconds           ,115,36," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","17,6", 4.6/5            ,"2,4"
 Ford     , Maverick    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,2.5,191,155, Automatic        , 8.7 seconds           ,130,37," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            ","21,82", 4.8/5            ,"1,7"
 Toyota   , Camry       ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2.5,206,186, Automatic        , 8.1 seconds           ,120,39," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,17", 4.7/5            ,"1,6"
 Kia      , Soul        ,2023, Hatchback ," Black, Gray, White            ", Gasoline  ,2,147,132, CVT               , 9.9 seconds           ,115,32," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","21,49", 4.6/5            ,"2,2"
 Chevrolet, Corvette    ,2023, Convertible ," Red, Black, White          ", Gasoline  ,6.2,490,470, Automatic        , 3.1 seconds           ,190,21," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","75,59", 4.9/5            ,1
 Ford     , Explorer    ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,8"
 Chevrolet, Bolt EUV    ,2023, SUV       ," Silver, Blue, Black           ", Electric  , N/A             , 200 (est.) , 360 (est.)  , Automatic        , 6.5 seconds           , 120 (est.)     , 110 (est.)    ," ABS, Airbags, HD Rear Vision Camera, Lane Keep Assist with Lane Departure Warning ", 10.2-inch Infotainment Display     ," Cloth Seats, Keyless Entry, Wireless Smartphone Charging "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          ","33,995", 4.9/5            ,900
 Toyota   , Prius       ,2023, Hatchback ," Blue, White, Gray             ", Hybrid    ,1.8, 96 (est.)  , N/A         , CVT               , 10.1 seconds          , 115 (est.)     , 50 (est.)     ," ABS, Airbags, Pre-Collision System, Lane Departure Alert    ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Headlights, 15-inch Alloy Wheels                      ","27,9", 4.7/5            ,"1,2"
 GMC      , Acadia      ,2023, SUV       ," Red, Black, White             ", Gasoline  ,2,228,349, Automatic        , 7.5 seconds           ,130,23," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","33,9", 4.7/5            ,"1,6"
 Hyundai  , Venue       ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,1.6,121,113, CVT               , 10.1 seconds          ,115,35," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","20,4", 4.6/5            ,"2,3"
 Genesis  , GV80        ,2023, SUV       ," Gray, White, Black            ", Gasoline  ,2.5,300,311, Automatic        , 6.9 seconds           ,120,25," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         ","47,7", 4.8/5            ,900
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,2,275,295, Automatic        , 5.2 seconds           ,155,23," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        ",25, 4.7/5            ,"1,6"
 Honda    , Fit         ,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ,1.5,128,139, CVT               , 8.8 seconds           ,115,36," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","17,6", 4.6/5            ,"2,4"
 Ford     , Maverick    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,2.5,191,155, Automatic        , 8.7 seconds           ,130,37," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            ","21,82", 4.8/5            ,"1,7"
 Toyota   , Camry       ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2.5,206,186, Automatic        , 8.1 seconds           ,120,39," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,17", 4.7/5            ,"1,6"
 Kia      , Soul        ,2023, Hatchback ," Black, Gray, White            ", Gasoline  ,2,147,132, CVT               , 9.9 seconds           ,115,32," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","21,49", 4.6/5            ,"2,2"
 Chevrolet, Corvette    ,2023, Convertible ," Red, Black, White          ", Gasoline  ,6.2,490,470, Automatic        , 3.1 seconds           ,190,21," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","75,59", 4.9/5            ,1
 Ford     , Explorer    ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,8"
 Chevrolet, Bolt EUV    ,2023, SUV       ," Silver, Blue, Black           ", Electric  , N/A             , 200 (est.) , 360 (est.)  , Automatic        , 6.5 seconds           , 120 (est.)     , 110 (est.)    ," ABS, Airbags, HD Rear Vision Camera, Lane Keep Assist with Lane Departure Warning ", 10.2-inch Infotainment Display     ," Cloth Seats, Keyless Entry, Wireless Smartphone Charging "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          ","33,995", 4.9/5            ,900
 Toyota   , Prius       ,2023, Hatchback ," Blue, White, Gray             ", Hybrid    ,1.8, 96 (est.)  , N/A         , CVT               , 10.1 seconds          , 115 (est.)     , 50 (est.)     ," ABS, Airbags, Pre-Collision System, Lane Departure Alert    ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Headlights, 15-inch Alloy Wheels                      ","27,9", 4.7/5            ,"1,2"
 GMC      , Acadia      ,2023, SUV       ," Red, Black, White             ", Gasoline  ,2,228,349, Automatic        , 7.5 seconds           ,130,23," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","33,9", 4.7/5            ,"1,6"
 Hyundai  , Venue       ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,1.6,121,113, CVT               , 10.1 seconds          ,115,35," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","20,4", 4.6/5            ,"2,3"
 Genesis  , GV80        ,2023, SUV       ," Gray, White, Black            ", Gasoline  ,2.5,300,311, Automatic        , 6.9 seconds           ,120,25," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         ","47,7", 4.8/5            ,900
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,2,275,295, Automatic        , 5.2 seconds           ,155,23," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        ",25, 4.7/5            ,"1,6"
 Honda    , Fit         ,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ,1.5,128,139, CVT               , 8.8 seconds           ,115,36," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","17,6", 4.6/5            ,"2,4"
 Ford     , Maverick    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,2.5,191,155, Automatic        , 8.7 seconds           ,130,37," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            ","21,82", 4.8/5            ,"1,7"
 Toyota   , Camry       ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2.5,206,186, Automatic        , 8.1 seconds           ,120,39," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,17", 4.7/5            ,"1,6"
 Kia      , Soul        ,2023, Hatchback ," Black, Gray, White            ", Gasoline  ,2,147,132, CVT               , 9.9 seconds           ,115,32," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","21,49", 4.6/5            ,"2,2"
 Chevrolet, Corvette    ,2023, Convertible ," Red, Black, White          ", Gasoline  ,6.2,490,470, Automatic        , 3.1 seconds           ,190,21," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","75,59", 4.9/5            ,1
 Ford     , Explorer    ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,8"
 Chevrolet, Bolt EUV    ,2023, SUV       ," Silver, Blue, Black           ", Electric  , N/A             , 200 (est.) , 360 (est.)  , Automatic        , 6.5 seconds           ," 120 (est.)     Vision Camera, Lane Keep Assist with Lane Departure Warning ", 10.2-inch Infotainment Display     ," Leather Seats, Keyless Entry, Wireless Smartphone Charging "," LED Headlights, Roof Rails, 19-inch Alloy Wheels          ","33,995", 4.9/5            ,900,,
 Tesla    , Model 3     ,2023, Sedan     ," Black, Silver, Blue           ", Electric  , N/A             , 241 (est.) , 317 (est.)  , Automatic        , 5.3 seconds           , 140 (est.)     , 315 (est.)    ," ABS, Airbags, Autopilot, Lane Departure Warning             ", 15-inch Touchscreen Display       ," Leather Seats, Keyless Entry, Push Button Start           "," LED Headlights, Power Liftgate, 20-inch Alloy Wheels       ",45, 4.8/5            ,"1,3"
 Jeep     , Wrangler    ,2023, SUV       ," Red, Black, Gray              ", Gasoline  ,3,285,260, Automatic        , 6.5 seconds           ,110,20," ABS, Airbags, Electronic Stability Control, ParkView Rear Back-Up Camera ", 8.4-inch Uconnect Touchscreen      ," Cloth Seats, Keyless Entry, Removable Doors               "," LED Headlights, Off-Road Suspension, 17-inch Alloy Wheels ","33,59", 4.7/5            ,"1,6"
 Audi     , A5          ,2023, Coupe     ," Blue, White, Black            ", Gasoline  ,2,261,273, Automatic        , 5.2 seconds           ,130,34," ABS, Airbags, Audi Pre Sense Basic, Audi Pre Sense City      ", 10.1-inch MMI Touch Display       ," Leather Seats, Keyless Entry, Sunroof                    "," LED Headlights, 18-inch Alloy Wheels                     ",45, 4.8/5            ,"1,9"
 Subaru   , Outback     ,2023, Wagon     ," Silver, Green, Black          ", Gasoline  ,2.4,260,277, Automatic        , 6.7 seconds           ,135,29," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 11.6-inch STARLINK Display        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","27,845", 4.7/5            ,"1,4"
 BMW      , X5          ,2023, SUV       ," White, Gray, Black            ", Gasoline  ,3,389,330, Automatic        , 4.6 seconds           ,155,23," ABS, Airbags, Dynamic Stability Control, Rear View Camera   ", 12.3-inch Central Display        ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 20-inch Alloy Wheels                      ","62,695", 4.8/5            ,"1,8"
 Nissan   , Rogue Sport ,2023, SUV       ," Blue, White, Gray             ", Gasoline  ,2.5,181,181, CVT               , 9.1 seconds           ,130,32," ABS, Airbags, Intelligent Forward Collision Warning, RearView Monitor ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","23,43", 4.6/5            ,"1,7"
 Volvo    , XC40        ,2023, SUV       ," Black, White, Silver          ", Gasoline  ,2,248,258, Automatic        , 6.2 seconds           ,140,27," ABS, Airbags, City Safety Collision Avoidance Technology    ", 9-inch Sensus Touchscreen         ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 18-inch Alloy Wheels                     ","35,7", 4.8/5            ,"1,6"
 Mazda    , MX-5 Miata  ,2023, Convertible ," Red, Black, White          ", Gasoline  ,2,181,151, Manual           , 6.5 seconds           ,120,34," ABS, Airbags, Rearview Camera, Blind Spot Monitoring        ", 7-inch MAZDA CONNECT Display     ," Leather Seats, Keyless Entry, Bose Audio System           "," LED Headlights, 17-inch Alloy Wheels                     ","27,775", 4.7/5            ,1
 Lexus    , ES          ,2023, Sedan     ," White, Black, Gray            ", Gasoline  ,3.5,302,267, Automatic        , 6.3 seconds           ,130,34," ABS, Airbags, Lexus Safety System+ 3.0, Backup Camera       ", 8-inch Lexus Multimedia System   ," Leather Seats, Keyless Entry, Sunroof                    "," LED Headlights, 18-inch Alloy Wheels                     ","40,325", 4.8/5            ,"1,9"
 Subaru   , Forester    ,2023, SUV       ," Blue, Black, Gray             ", Gasoline  ,2.5,182,176, CVT               , 9.3 seconds           ,130,28," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 8.0-inch STARLINK Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Headlights, Roof Rails, 17-inch Alloy Wheels           ","25,195", 4.7/5            ,"1,5"
 Audi     , Q5          ,2023, SUV       ," Black, White, Gray            ", Gasoline  ,2,261,273, Automatic        , 5.9 seconds           ,130,28," ABS, Airbags, Audi Pre Sense Basic, Audi Pre Sense City      ", 10.1-inch MMI Touch Display       ," Leather Seats, Keyless Entry, Panoramic Sunroof          "," LED Headlights, 18-inch Alloy Wheels                     ","45,6", 4.7/5            ,"2,1"
 Hyundai  , Santa Fe    ,2023, SUV       ," Blue, White, Black            ", Gasoline  ,2.5,191,182, Automatic        , 8.6 seconds           ,130,26," ABS, Airbags, Forward Collision-Avoidance Assist with Pedestrian Detection ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Rear Occupant Alert          "," LED Headlights, 18-inch Alloy Wheels                     ","27,7", 4.6/5            ,"1,7"
 Acura    , RDX         ,2023, SUV       ," Black, White, Gray            ", Gasoline  ,2,272,280, Automatic        , 5.7 seconds           ,135,27," ABS, Airbags, AcuraWatch, Multi-View Rear Camera           ", 10.2-inch True Touchpad Interface ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 19-inch Alloy Wheels                     ",39, 4.7/5            ,"1,9"
 Mazda    , Mazda6      ,2023, Sedan     ," White, Red, Gray              ", Gasoline  ,2.5,187,186, Automatic        , 7.6 seconds           ,130,31," ABS, Airbags, Mazda Connected Services, Rearview Camera    ", 8-inch MAZDA CONNECT Display     ," Cloth Seats, Keyless Entry, Dual-Zone Climate Control     "," LED Headlights, 17-inch Alloy Wheels                     ","24,325", 4.7/5            ,"1,2"
 Lexus    , RX          ,2023, SUV       ," White, Black, Gray            ", Gasoline  ,3.5,290,263, Automatic        , 6.8 seconds           ,130,29," ABS, Airbags, Lexus Safety System+ 3.0, Rear View Camera    ", 8-inch Lexus Multimedia System   ," Leather Seats, Keyless Entry, Power Liftgate              "," LED Headlights, 18-inch Alloy Wheels                     ","48,5", 4.8/5            ,"1,8"
 Kia      , Sportage    ,2023, SUV       ," Blue, White, Black            ", Gasoline  ,2.4,181,175, CVT               , 8.9 seconds           ,130,27," ABS, Airbags, Forward Collision-Avoidance Assist, Rear View Camera ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Lane Keeping Assist          "," LED Headlights, 18-inch Alloy Wheels                     ",25, 4.6/5            ,2
 BMW      , 5 Series    ,2023, Sedan     ," White, Black, Gray            ", Gasoline  ,2,248,258, Automatic        , 5.9 seconds           ,130,31," ABS, Airbags, Active Driving Assistant, Rear View Camera   ", 12.3-inch Central Display        ," Leather Seats, Keyless Entry, Sunroof                    "," LED Headlights, 18-inch Alloy Wheels                     ","54,2", 4.8/5            ,"2,2"
 Ford     , Escape      ,2023, SUV       ," Blue, White, Black            ", Gasoline  ,1.5,181,190, Automatic        , 7.1 seconds           ,130,30," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Headlights, 18-inch Alloy Wheels                     ","27,65", 4.6/5            ,"1,5"
 Infiniti , QX50        ,2023, SUV       ," Blue, Black, White            ", Gasoline  ,2,268,280, Automatic        , 6.7 seconds           ,135,29," ABS, Airbags, Predictive Forward Collision Warning, Rear View Monitor ", 8-inch Dual Display System        ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 20-inch Alloy Wheels                     ","40,1", 4.7/5            ,"1,8"
 Nissan   , Pathfinder  ,2023, SUV       ," Black, White, Gray            ", Gasoline  ,3.5,284,259, Automatic        , 6.4 seconds           ,120,26," ABS, Airbags, Intelligent Forward Collision Warning, RearView Monitor ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Tri-Zone Climate Control      "," LED Headlights, 18-inch Alloy Wheels                     ","33,41", 4.6/5            ,"1,6"
 Volvo    , XC60        ,2023, SUV       ," Black, White, Silver          ", Gasoline  ,2,250,258, Automatic        , 6.4 seconds           ,140,26," ABS, Airbags, City Safety Collision Avoidance Technology    ", 9-inch Sensus Touchscreen         ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 19-inch Alloy Wheels                     ","42,4", 4.8/5            ,"1,8"
 Subaru   , Legacy      ,2023, Sedan     ," Blue, White, Gray             ", Gasoline  ,2.4,182,176, CVT               , 8.9 seconds           ,130,35," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 11.6-inch STARLINK Display        ," Cloth Seats, Keyless Entry, Dual-Zone Climate Control     "," LED Headlights, 17-inch Alloy Wheels                     ","22,995", 4.7/5            ,"1,5"
 Acura    , MDX         ,2023, SUV       ," Black, White, Gray            ", Gasoline  ,3.5,290,267, Automatic        , 6.2 seconds           ,130,27," ABS, Airbags, AcuraWatch, Multi-View Rear Camera           ", 12.3-inch True Touchpad Interface ," Leather Seats, Keyless Entry, Panoramic Moonroof         "," LED Headlights, 20-inch Alloy Wheels                     ","46,9", 4.7/5            ,"2,1"
 Mazda    , CX-5        ,2023, SUV       ," Blue, White, Gray             ", Gasoline  ,2.5,187,186, Automatic        , 7.6 seconds           ,130,31," ABS, Airbags, Mazda Connected Services",,,,55,3.4/5,"2,34"
