Location,Reactor Name,Model,Reactor Type,Net Capacity (MWe),Construction Start,First Grid Connection,Status,Country,
,Genkai 3,M (4-loop),PWR,1127,,1993-06,Working,Japan,
,Genkai 4,M (4-loop),PWR,1127,,1996-11,Working,Japan,
,Hamaoka 3,BWR-5,BWR,1056,,1987-01,Working,Japan,
,Hamaoka 4,BWR-5,BWR,1092,,1993-01,Working,Japan,
,Hamaoka 5,ABWR,BWR,1325,,2004-04,Working,Japan,
,Higashi Dori 1 (Tohoku),BWR-5,BWR,1067,,2005-03,Working,Japan,
,Ikata 3,M (3-loop),PWR,846,,1994-03,Working,Japan,
,Kashiwazaki Kariwa 1,BWR-5,BWR,1067,,1985-02,Working,Japan,
,Kashiwazaki Kariwa 2,BWR-5,BWR,1067,,1990-02,Working,Japan,
,Kashiwazaki Kariwa 3,BWR-5,BWR,1067,,1992-12,Working,Japan,
,Kashiwazaki Kariwa 4,BWR-5,BWR,1067,,1993-12,Working,Japan,
,Kashiwazaki Kariwa 5,BWR-5,BWR,1067,,1989-09,Working,Japan,
,Kashiwazaki Kariwa 6,ABWR,BWR,1315,,1996-01,Working,Japan,
,Kashiwazaki Kariwa 7,ABWR,BWR,1315,,1996-12,Working,Japan,
,Mihama 3,M (3-loop),PWR,780,,1976-02,Working,Japan,
,Ohi 3,M (4-loop),PWR,1127,,1991-06,Working,Japan,
,Ohi 4,M (4-loop),PWR,1127,,1992-06,Working,Japan,
,Onagawa 2,BWR-5,BWR,796,,1994-12,Working,Japan,
,Onagawa 3,BWR-5,BWR,796,,2001-05,Working,Japan,
,Sendai 1,M (3-loop),PWR,846,,1983-09,Working,Japan,
,Sendai 2,M (3-loop),PWR,846,,1985-04,Working,Japan,
,Shika 1,BWR-5,BWR,505,,1993-01,Working,Japan,
,Shika 2,ABWR,BWR,1108,,2005-07,Working,Japan,
,Shimane 2,BWR-5,BWR,789,,1988-07,Working,Japan,
,Takahama 1,M (3-loop),PWR,780,,1974-03,Working,Japan,
,Takahama 2,M (3-loop),PWR,780,,1975-01,Working,Japan,
,Takahama 3,M (3-loop),PWR,830,,1984-05,Working,Japan,
,Takahama 4,M (3-loop),PWR,830,,1984-11,Working,Japan,
,Tokai 2,BWR-5,BWR,1060,,1978-03,Working,Japan,
,Tomari 1,M (2-loop),PWR,550,,1988-12,Working,Japan,
,Tomari 2,M (2-loop),PWR,550,,1990-08,Working,Japan,
,Tomari 3,M (3-loop),PWR,866,,2009-03,Working,Japan,
,Tsuruga 2,M (4-loop),PWR,1108,,1986-06,Working,Japan,
,Qasr Amra 1,VVER-1000/V-392,PWR,1060,,,Cancelled,Jordan,
,Qasr Amra 2,VVER-1000/V-392,PWR,1060,,,Cancelled,Jordan,
,Kurchatov,VBER-300?,PWR,2 x 300?,,,After 2025,Kazakhstan,
,"Ulken, L.Balkhash",VVER-1200,PWR,1200,,,After 2026,Kazakhstan,
,Visaginas 1,ABWR,PWR,1350,,,uncertain,Lithuania,
,Visaginas 2,ABWR,PWR,1350,,,uncertain,Lithuania,
,Laguna Verde 1,BWR-5,BWR,777,,1976-09,Working,Maxico,
,Laguna Verde 2,BWR-5,BWR,775,,1977-06,Working,Maxico,
,Borssele,2-loops KWU,PWR,482,,1969-07,Working,Netherland,
,CHASNUPP-1,CNP-300,PWR,300,,,Working,Pakistan,
,CHASNUPP-2,CNP-300,PWR,300,,,Working,Pakistan,
,Chashma Nuclear Power Plant Unit 3,CNP-300,PWR,315,,,Working,Pakistan,
,Chashma Nuclear Power Plant Unit 4,CNP-300,PWR,313,,,Working,Pakistan,
,K-2,HPR1000,PWR,1017,,,Working,Pakistan,
,K-3,HPR1000,PWR,1017,,,Working,Pakistan,
,"Zarnowiec, TBD",TBD,,c 3000,2027?,2033?,Working,Poland,
,"East Poland, TBD",TBD,,c 3000,,2039?,Working,Poland,
,Belchatow?,,,,,,Working,Poland,
,Cernavoda 3,Candu 6,720,2031,,,Working,Romania,
,Cernavoda 4,Candu 6,720,2032,,,Working,Romania,
,Akademik Lomonosov 1,KLT-40S,32,45066,,2029,Working,Russia,
,Akademik Lomonosov 2,KLT-40S,32,45066,,2029,Working,Russia,
,Balakovo 1,V-320,950,31533,,2045,Working,Russia,
,Balakovo 2,V-320,950,32143,,2043,Working,Russia,
,Balakovo 3,V-320,950,32599,,2048,Working,Russia,
,Balakovo 4,V-320,950,34304,,2053,Working,Russia,
,Beloyarsk 3,BN-600 (FBR),560,29891,,2030,Working,Russia,
,Beloyarsk 4,BN-800 (FBR),820,45215,,2056,Working,Russia,
,Bohunice 3,VVER V-213,PWR,466,,1976-12,Working,Salovakia,
,Bohunice 4,VVER V-213,PWR,466,,1976-12,Working,Salovakia,
,Mochovce 1,VVER V-213,PWR,408,,1983-10,Working,Salovakia,
,Mochovce 2,VVER V-213,PWR,408,,1983-10,Working,Salovakia,
,Mochovce 3,VVER V-213,PWR,440,,1987-01,Working,Salovakia,
,Hanbit 1,WH F,PWR,995,,1981-06,Working,South Korea,
,Hanbit 2,WH F,PWR,988,,1981-12,Working,South Korea,
,Hanbit 3,OPR-1000,PWR,986,,1989-12,Working,South Korea,
,Hanbit 4,OPR-1000,PWR,970,,1990-05,Working,South Korea,
,Hanbit 5,OPR-1000,PWR,992,,1997-06,Working,South Korea,
,Hanbit 6,OPR-1000,PWR,993,,1997-11,Working,South Korea,
,Hanul 1,France CPI,PWR,966,,1983-01,Working,South Korea,
,Hanul 2,France CPI,PWR,967,,1983-07,Working,South Korea,
,Hanul 3,OPR-1000,PWR,997,,1993-07,Working,South Korea,
,Hanul 4,OPR-1000,PWR,999,,1993-11,Working,South Korea,
,Hanul 5,OPR-1000,PWR,998,,1999-10,Working,South Korea,
,Hanul 6,OPR-1000,PWR,997,,2000-09,Working,South Korea,
,Kori 2,WH F,PWR,640,,1977-12,Working,South Korea,
,Kori 3,WH F,PWR,1011,,1979-10,Working,South Korea,
,Kori 4,WH F,PWR,1012,,1980-04,Working,South Korea,
,Saeul 1,APR-1400,PWR,1416,,2008-10,Working,South Korea,
,Saeul 2,APR-1400,PWR,1418,,2009-08,Working,South Korea,
,Shin Hanul 1,APR-1400,PWR,1414,,2012-07,Working,South Korea,
,Shin Kori 1,OPR-1000,PWR,996,,2006-06,Working,South Korea,
,Shin Kori 2,OPR-1000,PWR,996,,2007-06,Working,South Korea,
,Shin Wolsong 1,OPR-1000,PWR,997,,2007-11,Working,South Korea,
,Shin Wolsong 2,OPR-1000,PWR,993,,2008-09,Working,South Korea,
,Wolsong 2,CANDU 6,PHWR,569,,1992-09,Working,South Korea,
,Wolsong 3,CANDU 6,PHWR,605,,1994-03,Working,South Korea,
,Wolsong 4,CANDU 6,PHWR,574,,1994-07,Working,South Korea,
,"Shin Hanul 2, Ulchin",APR1400,PWR,1400 MWe,41426,2023,Working,South Korea,
,Saeul 3,APR1400,PWR,1400 MWe,42826,2023,Working,South Korea,
,Saeul 4,APR1400,PWR,1400 MWe,43344,Jun-24,Working,South Korea,
,"Shin Hanul 3, Ulchin",APR1400,PWR,1400 MWe,2024,,Working,South Korea,
,"Shin Hanul 4, Ulchin",APR1400,PWR,1400 MWe,2024,,Working,South Korea,
,Cheonji 1,APR+,PWR,1500 MWe,,,2022 (cancelled),South Korea,
,Cheonji 2,APR+,PWR,1500 MWe,,,2023 (cancelled),South Korea,
,Cheonji 3 or Daejin 1,APR+,PWR,1500 MWe,,,2025 (cancelled),South Korea,
,Cheonji 4 or Daejin 2,APR+,PWR,1500 MWe,,,2026 (cancelled),South Korea,
,Trillo 1,PWR 3 loops,PWR,1003,,1979-08,Working,Spain,
,Almaraz 1,W (3-loop),PWR,1011,,1973-07,Working,Spain,
,Almaraz 2,W (3-loop),PWR,1006,,1973-07,Working,Spain,
,Asco 2,W (3-loop),PWR,997,,1975-03,Working,Spain,
,Asco 1,W (3-loop),PWR,995,,1974-05,Working,Spain,
,Cofrentes,BWR-6,BWR,1064,,1975-09,Working,Spain,
,Vandellos 2,W (3-loop),PWR,1047,,1980-12,Working,Spain,
,Forsmark 1,"ABB-III, BWR-2500",BWR,1040,,1973-06,Working,Sweden,
,Forsmark 2,"ABB-III, BWR-2500",BWR,1121,,1975-01,Working,Sweden,
,Forsmark 3,"ABB-III, BWR-3000",BWR,1172,,1979-01,Working,Sweden,
,Oskarshamn 3,"ABB-III, BWR-3000",BWR,1400,,1980-05,Working,Sweden,
,Ringhals 3,W (3-loops),PWR,1074,,1972-09,Working,Sweden,
,Ringhals 4,W (3-loops),PWR,1130,,1973-11,Working,Sweden,
,Beznau 2,W (2-loop),PWR,365,,1968-01,Working,Switzerland,
,Goesgen,PWR 3 Loop,PWR,1010,,1973-12,Working,Switzerland,
,Beznau 1,W (2-loop),PWR,365,,1965-09,Working,Switzerland,
,Leibstadt,BWR-6,BWR,1233,,1974-01,Working,Switzerland,
,Akkuyu 1,VVER-1200/V-509,,1200,,Apr-18,Under Construction,Turkey,
,Akkuyu 2,VVER-1200/V-509,,1200,,Apr-20,Under Construction,Turkey,
,Akkuyu 3,VVER-1200/V-509,,1200,,Mar-21,Under Construction,Turkey,
,Akkuyu 4,VVER-1200/V-509,,1200,,Jul-22,Under Construction,Turkey,
Sinop Province,Sinop 1-4,APR-1400? VVER-1200?,,c. 5200’,,,Under Construction,Turkey,
K?rklareli Province,Igneada 1-4,"AP1000x2,",,2x1250,,,Under Construction,Turkey,
,,CAP1400x2,,2x1400,,,Under Construction,Turkey,
,Khmelnitski 1,VVER V-320,PWR,950,,1987-12,Working,Ukraine,
,Khmelnitski 2,VVER V-320,PWR,950,,2004-08,Working,Ukraine,
,Rivne 1,VVER V-213,PWR,381,,1980-12,Working,Ukraine,
,Rivne 2,VVER V-213,PWR,376,,1981-12,Working,Ukraine,
,Rivne 3,VVER V-320,PWR,950,,1986-12,Working,Ukraine,
,Rivne 4,VVER V-320,PWR,950,,2004-10,Working,Ukraine,
,South Ukraine 1,VVER V-302,PWR,950,,1982-12,Working,Ukraine,
,South Ukraine 2,VVER V-338,PWR,950,,1985-01,Working,Ukraine,
,South Ukraine 3,VVER V-320,PWR,950,,1989-09,Working,Ukraine,
,Zaporizhzhia 1,VVER V-320,PWR,950,,1984-12,Working,Ukraine,
,Zaporizhzhia 2,VVER V-320,PWR,950,,1985-07,Working,Ukraine,
,Zaporizhzhia 3,VVER V-320,PWR,950,,1986-12,Working,Ukraine,
,Zaporizhzhia 4,VVER V-320,PWR,950,,1987-12,Working,Ukraine,
,Zaporizhzhia 5,VVER V-320,PWR,950,,1989-08,Working,Ukraine,
,Zaporizhzhia 6,VVER V-320,PWR,950,,1995-10,Working,Ukraine,
,Khmelnitski 3,VVER V-392B,PWR,1089,31472,,Working,Ukraine,
,Khmelnitski 4,VVER V-392B,PWR,1089,31809,,Working,Ukraine,
,Chernobyl 4,RBMK,LWGR,925,,,Permanent Shutdown,Ukraine,
,Chernobyl 2,RBMK,LWGR,925,,,Permanent Shutdown,Ukraine,
,Chernobyl 1,RBMK,LWGR,740,,,Permanent Shutdown,Ukraine,
,Chernobyl 3,RBMK,LWGR,925,,,Permanent Shutdown,Ukraine,
,Barakah 4,APR-1400,1417,42215,,,Working,UAE,
,Hartlepool A 1,AGR,GCR,590,,1968-10,Working,UK ,
,Hartlepool A 2,AGR,GCR,595,,1968-10,Working,UK ,
,Heysham A 1,AGR,GCR,485,,1970-12,Working,UK ,
,Heysham A 2,AGR,GCR,575,,1970-12,Working,UK ,
,Heysham B 1,AGR,GCR,620,,1980-08,Working,UK ,
,Heysham B 2,AGR,GCR,620,,1980-08,Working,UK ,
,Sizewell B,SNUPPS,PWR,1198,,1988-07,Working,UK ,
,Torness 1,AGR,GCR,595,,1980-08,Working,UK ,
,Torness 2,AGR,GCR,605,,1980-08,Working,UK ,
,Hinkley Point C1,EPR,1720,43435,,2027,Working,UK ,
,Hinkley Point C2,EPR,1720,43800,,2028,Working,UK ,
Suffolk,EDF Energyn,Sizewell C1,PWR,EPR,,1670?,Working,UK ,
Suffolk,EDF Energyn,Sizewell C2,PWR,EPR,,1670?,Working,UK ,
Essex,China General Nuclear,Bradwell B1,PWR,Hualong One,,1150,Planned,UK ,
Essex,China General Nuclear,Bradwell B2,PWR,Hualong One,,1150,Planned,UK ,
Wales,Horizon,Wylfa Newydd 1&2,PWR,ABWR,,2760,Proposed,UK ,
Gloucestershire,Horizon,Oldbury B1&B2,PWR,ABWR,,2760,Proposed,UK ,
Cumbria,GE Hitachi,Sellafield,PWR,2 x PRISM,,2 x 311,Proposed,UK ,
Cumbria,Candu Energy,Sellafield,PWR,2 x Candu EC6,,2 x 740,Proposed,UK ,
Cumbria,NuGeneration,Moorside 1-3,PWR,3x AP1000,,3 x 1135,Proposed,UK ,
Zion,WH (DRY),,PWR,1040,1-Dec-68,31-Dec-73,Dismantled,USA,
Zion,WH (DRY),,PWR,1040,1-Dec-68,17-Sep-74,Dismantled,USA,
Yankee Rowe,WH (DRY),,PWR,167,1-Nov-57,1-Jul-61,Dismantled,USA,
Wolf Creek,WH 4-Loop (DRY),,PWR,1200,31-May-77,3-Sep-85,Operational,USA,
Watts Bar,WH 4-Loop (ICECOND),,PWR,1157,20-Jul-73,27-May-96,Operational,USA,
Watts Bar,WH 4-Loop (ICECOND),,PWR,1164,1-Sep-73,4-Jun-16,Operational,USA,
Waterford,CE 2-loop (DRY),,PWR,1168,14-Nov-74,24-Sep-85,Operational,USA,
Vogtle,WH 4-Loop (DRY),,PWR,1150,1-Aug-76,1-Jun-87,Operational,USA,
Vogtle,WH 4-Loop (DRY),,PWR,1152,1-Aug-76,20-May-89,Operational,USA,
Vogtle,AP1000,,PWR,1117,12-Mar-13,31 Jul 2023[151],Operational,USA,
Vogtle,AP1000,,PWR,1117,19-Nov-13,(2023)[152],Under construction,USA,
Virgil C. Summer,WH 3-Loop (DRY),,PWR,1000,21-Mar-73,1-Jan-84,Operational,USA,
Vermont Yankee,BWR-4 (WET),,BWR,605[149],11-Dec-67,30-Nov-72,Shut down,USA,
Vallecitos,BWR-1,,BWR,25,1-Jan-56,19-Oct-57,Shut down,USA,
Turkey Point,WH 3-loop (DRY),,PWR,837,27-Apr-67,14-Dec-72,Operational,USA,
Turkey Point,WH 3-loop (DRY),,PWR,821,27-Apr-67,7-Sep-73,Operational,USA,
Turkey Point,AP1000,,PWR,1100,,,Planned,USA,
Turkey Point,AP1000,,PWR,1100,,,Planned,USA,
Trojan,WH (DRY),,PWR,1095,1-Feb-70,20-May-76,Dismantled,USA,
Three Mile Island,B & W (DRY),,PWR,819,18-May-68,2-Sep-74,Shut down,USA,
Three Mile Island,B & W (DRY),,PWR,880,1-Nov-69,30-Dec-78,Core melt,USA,
Susquehanna,BWR-5 (WET),,BWR,1257,2-Nov-73,12-Nov-82,Operational,USA,
Susquehanna,BWR-5 (WET),,BWR,1257,2-Nov-73,27-Jun-84,Operational,USA,
Surry,WH 3-loop (DRY),,PWR,838,25-Jun-68,22-Dec-72,Operational,USA,
Surry,WH 3-loop (DRY),,PWR,838,25-Jun-68,1-May-73,Operational,USA,
St. Lucie,CE (DRY),,PWR,981,1-Jul-70,1-Mar-76,Operational,USA,
St. Lucie,CE (DRY),,PWR,987,2-Jun-77,10-Jun-83,Operational,USA,
SRE,,,FBR,6.5,1954,12-Jul-57,Decommissioned,USA,
South Texas,WH 4-loop (DRY),,PWR,1280,22-Dec-75,25-Aug-88,Operational,USA,
South Texas,WH 4-loop (DRY),,PWR,1280,22-Dec-75,19-Jun-89,Operational,USA,
Shoreham,GE,,BWR,820,1-Nov-72,1-Aug-86,Shut down,USA,
Shippingport,WH,,PWR,60,6-Sep-54,26-May-58,Dismantled,USA,
Shearon Harris,WH 3-Loop (DRY),,PWR,964,28-Jan-78,2-May-87,Operational,USA,
Sequoyah,WH 4-Loop (ICECOND),,PWR,1152,27-May-70,1-Jul-81,Operational,USA,
Sequoyah,WH 4-Loop (ICECOND),,PWR,1139,27-May-70,1-Jun-82,Operational,USA,
Seabrook Station,WH 4-Loop (DRY),,PWR,1246,7-Jul-76,15-Mar-90,Operational,USA,
Saxton,,,PWR,3,1-Jan-60,Nov-61,Decommissioned,USA,
San Onofre,WH (DRY),,PWR,436,16-Jul-64,1-Jan-68,Dismantled,USA,
San Onofre,CE (DRY),,PWR,1070,1-Mar-74,8-Aug-83,Shut down,USA,
San Onofre,CE (DRY),,PWR,1180,1-Mar-74,1-Apr-84,Shut down,USA,
Salem,WH 4-loop (DRY),,PWR,1169,25-Sep-68,30-Jun-77,Operational,USA,
Salem,WH 4-loop (DRY),,PWR,1158,25-Sep-68,31-Oct-81,Operational,USA,
River Bend,BWR-6 (WET),,BWR,967,25-Mar-77,16-Jun-86,Operational,USA,
Rancho Seco,WH (DRY),,PWR,873,1-Apr-69,17-Apr-75,Decommissioned,USA,
Quad Cities,BWR-4 (WET),,BWR,908,15-Feb-67,18-Feb-73,Operational,USA,
Quad Cities,BWR-4 (WET),,BWR,911,15-Feb-67,10-Mar-73,Operational,USA,
Prairie Island,WH 2-loop (DRY),,PWR,522,25-Jun-68,16-Dec-73,Operational,USA,
Prairie Island,WH 2-loop (DRY),,PWR,519,25-Jun-69,21-Dec-74,Operational,USA,
Point Beach,WH 2-loop (DRY),,PWR,591,19-Jul-67,21-Dec-70,Operational,USA,
Point Beach,WH 2-loop (DRY),,PWR,591,25-Jul-68,1-Oct-72,Operational,USA,
Piqua,Atomics International,,OCR,12,1-Jan-60,1-Nov-63,Decommissioned,USA,
Pilgrim,BWR-3 (WET),,BWR,677,26-Aug-68,9-Dec-72,Shut down,USA,
Perry,BWR-6 (WET),,BWR,1240,1-Oct-74,18-Nov-87,Operational,USA,
Peach Bottom,Prototype,,GCR,40,1-Feb-62,1-Jun-66,Shut down,USA,
Peach Bottom,BWR-4 (WET),,BWR,1300,31-Jan-68,5-Jul-74,Operational,USA,
Peach Bottom,BWR-4 (WET),,BWR,1331,31-Jan-68,23-Dec-74,Operational,USA,
Pathfinder,BWR-1,,BWR,59,1-Jan-59,1-Aug-66,Dismantled,USA,
Parr,CVTR,,PHWR,17,1-Jan-60,18-Dec-63,Dismantled,USA,
Palo Verde,CE80 2-loop (DRY),,PWR,1311,25-May-76,28-Jan-86,Operational,USA,
Palo Verde,CE80 2-loop (DRY),,PWR,1314,1-Jun-76,19-Sep-86,Operational,USA,
Palo Verde,CE80 2-loop (DRY),,PWR,1312,1-Jun-76,8-Jan-88,Operational,USA,
Palisades,CE 2-loop (DRY),,PWR,805,14-Mar-67,31-Dec-71,Shut down,USA,
Oyster Creek,BWR-2 (WET),,BWR,619,15-Dec-64,23-Dec-69,Shut down,USA,
Oconee,B & W (DRY),,PWR,847,6-Nov-67,15-Jul-73,Operational,USA,
Oconee,B & W (DRY),,PWR,848,6-Nov-67,9-Sep-74,Operational,USA,
Oconee,B & W (DRY),,PWR,859,6-Nov-67,16-Dec-74,Operational,USA,
North Anna,WH 3-Loop (DRY),,PWR,948,19-Feb-71,6-Jun-78,Operational,USA,
North Anna,WH 3-Loop (DRY),,PWR,944,19-Feb-71,14-Dec-80,Operational,USA,
Nine Mile Point,BWR-2 (WET),,BWR,613,12-Apr-65,1-Dec-69,Operational,USA,
Nine Mile Point,BWR-5 (WET),,BWR,1277,1-Aug-75,11-Mar-88,Operational,USA,
Monticello,BWR-3 (WET),,BWR,628,19-Jun-67,30-Jun-71,Operational,USA,
Millstone,BWR-3 (WET),,BWR,641,1-May-66,28-Dec-70,Shut down,USA,
Millstone,CE 2-loop (DRY),,PWR,869,1-Nov-69,26-Dec-75,Operational,USA,
Millstone,WH 4-Loop (DRY),,PWR,1210,9-Aug-74,23-Apr-86,Operational,USA,
McGuire,WH 4-Loop (ICECOND),,PWR,1158,1-Apr-71,1-Dec-81,Operational,USA,
McGuire,WH 4-Loop (ICECOND),,PWR,1158,1-Apr-71,1-Mar-84,Operational,USA,
Maine Yankee,WH (DRY),,PWR,860,1-Oct-68,28-Dec-72,Dismantled,USA,
Limerick,BWR-5 (WET),,BWR,1134,19-Jun-74,1-Feb-86,Operational,USA,
Limerick,BWR-5 (WET),,BWR,1134,19-Jun-74,8-Jan-90,Operational,USA,
LaSalle County,BWR-5 (WET),,BWR,1137,10-Sep-73,1-Jan-84,Operational,USA,
LaSalle County,BWR-5 (WET),,BWR,1140,10-Sep-73,19-Oct-84,Operational,USA,
La Crosse,BWR-1,,BWR,48,1-Mar-63,7-Nov-69,Dismantled,USA,
Kewaunee,WH 2-loop (DRY),,PWR,566,6-Aug-68,16-Jun-74,Shut down,USA,
Kemmerer,Natrium,,SFR,345,,,Planned,USA,
Joseph M. Farley,WH 3-Loop (DRY),,PWR,874,1-Oct-70,1-Dec-77,Operational,USA,
Joseph M. Farley,WH 3-Loop (DRY),,PWR,883,1-Oct-70,30-Jul-81,Operational,USA,
James A. FitzPatrick,BWR-4 (WET),,BWR,813,1-Sep-68,28-Jul-75,Operational,USA,
Indian Point,,,PWR,257,1-May-56,1-Oct-62,Shut down,USA,
Indian Point,WH 4-loop (DRY),,PWR,998,14-Oct-66,1-Aug-74,Shut down,USA,
Indian Point,WH 4-loop (DRY),,PWR,1030,1-Nov-68,30-Aug-76,Shut down,USA,
Humboldt Bay,BWR-1,,BWR,63,1-Nov-60,1-Aug-63,Dismantled,USA,
Hope Creek,BWR-4 (WET),,BWR,1172,1-Mar-76,20-Dec-86,Operational,USA,
Hallam,Atomics International,,SGR,75,1-Jan-59,1-Nov-63,Dismantled,USA,
H. B. Robinson,WH 3-loop (DRY),,PWR,735,13-Apr-67,7-Mar-71,Operational,USA,
Grand Gulf,BWR-6 (WET),,BWR,1401,4-May-74,1-Jul-85,Operational,USA,
Ginna,WH 2-loop (DRY),,PWR,560,25-Apr-66,1-Jun-70,Operational,USA,
Fort St. Vrain,General Atomics,,HTGR,330,1-Sep-68,1-Jul-79,Shut down,USA,
Fort Calhoun,CE 2-loop (WET),,PWR,482,7-Jun-68,9-Aug-73,Shut down,USA,
Fermi,Prototype,,FBR,61,8-Aug-56,7-Aug-66,Shut down,USA,
Fermi,BWR-4 (WET),,BWR,1115,26-Sep-72,23-Jan-88,Operational,USA,
Elk River,,,BWR,22,1-Jan-59,1-Jul-64,Dismantled,USA,
Edwin I. Hatch,BWR-4 (WET),,BWR,924,30-Sep-68,31-Dec-75,Operational,USA,
Edwin I. Hatch,BWR-4 (WET),,BWR,924,1-Feb-72,5-Sep-79,Operational,USA,
Duane Arnold,BWR-4 (WET),,BWR,601,22-May-70,1-Feb-75,Shut down,USA,
Dresden,BWR-1,,BWR,197,1-May-56,4-Jul-60,Shut down,USA,
Dresden,BWR-3 (WET),,BWR,894,10-Jan-66,9-Jun-70,Operational,USA,
Dresden,BWR-3 (WET),,BWR,879,14-Oct-66,16-Nov-71,Operational,USA,
Donald C. Cook,WH 4-Loop (ICECOND),,PWR,1020,25-Mar-69,27-Aug-75,Operational,USA,
Donald C. Cook,WH 4-Loop (ICECOND),,PWR,1090,25-Mar-69,1-Jul-78,Operational,USA,
Diablo Canyon,WH 4-Loop (DRY),,PWR,1138,23-Apr-68,7-May-85,Operational,USA,
Diablo Canyon,WH 4-Loop (DRY),,PWR,1118,9-Dec-70,13-Mar-86,Operational,USA,
Davis-Besse,B & W (DRY),,PWR,894,1-Sep-70,31-Jul-78,Operational,USA,
Crystal River 3,B & W (DRY),,PWR,860,25-Sep-68,13-Mar-77,Shut down,USA,
Cooper,BWR-4 (WET),,BWR,769,1-Jun-68,1-Jul-74,Operational,USA,
Connecticut Yankee,WH (DRY),,PWR,582,1-May-64,1-Jan-68,Dismantled,USA,
Comanche Peak,WH 4-loop (DRY),,PWR,1205,19-Dec-74,13-Aug-90,Operational,USA,
Comanche Peak,WH 4-loop (DRY),,PWR,1195,19-Dec-74,3-Aug-93,Operational,USA,
Columbia,BWR-5 (WET),,BWR,1131,1-Aug-72,13-Dec-84,Operational,USA,
Clinton,BWR-6 (WET),,BWR,1062,1-Oct-75,24-Nov-87,Operational,USA,
Clinch River,BWRX-300,,BWR,180,,,Planned,USA,
Catawba,WH 4-loop (ICECOND),,PWR,1160,1-May-74,29-Jun-85,Operational,USA,
Catawba,WH 4-loop (ICECOND),,PWR,1150,1-May-74,19-Aug-86,Operational,USA,
Carbon Free Power Project,NuScale,,PWR,77,,(2029–2030),Planned,USA,
Carbon Free Power Project,NuScale,,PWR,77,,(2029–2030),Planned,USA,
Carbon Free Power Project,NuScale,,PWR,77,,(2029–2030),Planned,USA,
Carbon Free Power Project,NuScale,,PWR,77,,(2029–2030),Planned,USA,
Carbon Free Power Project,NuScale,,PWR,77,,(2029–2030),Planned,USA,
Carbon Free Power Project,NuScale,,PWR,77,,(2029–2030),Planned,USA,
Calvert Cliffs,CE 2-loop (DRY),,PWR,877,1-Jun-68,8-May-77,Operational,USA,
Calvert Cliffs,CE 2-loop (DRY),,PWR,855,1-Jun-68,1-Apr-77,Operational,USA,
Callaway,WH 4-loop (DRY),,PWR,1215,1-Sep-75,19-Dec-84,Operational,USA,
Byron,WH 4-loop (DRY),,PWR,1164,1-Apr-75,16-Sep-85,Operational,USA,
Byron,WH 4-loop (DRY),,PWR,1136,1-Apr-75,2-Aug-87,Operational,USA,
Brunswick,BWR-4 (WET),,BWR,938,7-Feb-70,18 Mar 1977[145],Operational,USA,
Brunswick,BWR-4 (WET),,BWR,932,7-Feb-70,3 Nov 1975[146],Operational,USA,
Browns Ferry,BWR-4 (WET),,BWR,1200,1-May-67,1-Aug-74,Operational,USA,
Browns Ferry,BWR-4 (WET),,BWR,1200,1-May-67,1-Mar-75,Operational,USA,
Browns Ferry,BWR-4 (WET),,BWR,1210,1-Jul-68,1-Mar-77,Operational,USA,
Braidwood,WH 4-loop (DRY),,PWR,1194,1-Aug-75,29-Jul-88,Operational,USA,
Braidwood,WH 4-loop (DRY),,PWR,1160,1-Aug-75,17-Oct-88,Operational,USA,
Big Rock Point,BWR-1,,BWR,67,1-May-60,29-Mar-63,Dismantled,USA,
Beaver Valley,WH 3-loop (DRY),,PWR,908,26-Jun-70,2-Jul-76,Operational,USA,
Beaver Valley,WH 3-loop (DRY),,PWR,905,3-May-74,14-Aug-87,Operational,USA,
Arkansas Nuclear One,B & W (DRY-Cont),,PWR,836,1-Oct-68,21-May-74,Operational,USA,
Arkansas Nuclear One,CE (DRY),,PWR,988,6-Dec-68,1-Sep-78,Operational,USA,
,,,,,,,,,
